"id_invoice","tanggal","id_customer","nama","id_distributor","id_cabang","cabang_sales","id_group","group","id_barang","nama_barang","brand_id","kode_lini","lini","kemasan","jumlah_barang","harga","mata_uang"
IN6297,2022-01-20,CUST55381,APOTEK MAJA,TD,CAB01,Kuningan,Z32,Apotek,BRG0002,ALERGINE TABLET SALUT,BRND002,"203",ETIKAL,DUS,5,2338.0,IDR
IN5997,2022-01-20,CUST55380,APOTEK TAPAK,TD,CAB01,Aceh,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,1,1170.0,IDR
IN6155,2022-01-21,CUST55382,KLINIK GM,TA,CAB02,Jakarta,Z31,Klinik,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,9,10691.0,IDR
IN6144,2022-01-22,CUST55383,APOTEK MERDEKA,EPM,CAB03,Bandung,Z32,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,BRND004,"201",VNS,KAPSUL,13,8701.0,IDR
IN6039,2022-01-23,CUST55480,APOTEK MERDEKA,EPM,CAB03,Bandung,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,13,1170.0,IDR
IN6183,2022-01-23,CUST55498,APOTEK SAHABAT,TD,CAB02,Padang,Z32,Apotek,BRG0003,AMPICILLIN,BRND009,"210",VNS,BOTOL,25,5781.0,IDR
IN6065,2022-01-23,CUST55474,KLINIK SAHABAT,EPM,CAB08,Tangerang,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,4,5648.0,IDR
IN6284,2022-01-23,CUST55540,APOTEK MERDEKA,TA,CAB03,Bandung,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,76,1170.0,IDR
IN6317,2022-01-23,CUST55522,APOTEK TAPAK,TD,CAB01,Aceh,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,10,10691.0,IDR
IN6286,2022-01-23,CUST55468,APOTEK SAHABAT,TD,CAB02,Padang,Z32,Apotek,BRG0003,AMPICILLIN,BRND009,"210",VNS,BOTOL,120,5781.0,IDR
IN6318,2022-01-23,CUST55462,APOTEK TAPAK,TD,CAB01,Aceh,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,22,10691.0,IDR
IN6221,2022-01-23,CUST55504,KLINIK SAHABAT,EPM,CAB08,Tangerang,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,25,5648.0,IDR
IN6216,2022-01-23,CUST55456,APOTEK MAJA,TA,CAB05,Kuningan,Z32,Apotek,BRG0007,ERGOTAMINE COFFEINE,BRND007,"206",ETIKAL,BOTOL,98,4592.0,IDR
IN6233,2022-01-23,CUST55450,APOTEK MERDEKA,EPM,CAB03,Bandung,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,24,1170.0,IDR
IN6202,2022-01-23,CUST55528,APOTEK SAHABAT,EPM,CAB02,Padang,Z32,Apotek,BRG0003,AMPICILLIN,BRND009,"210",VNS,BOTOL,34,5781.0,IDR
IN6190,2022-01-23,CUST55390,APOTEK MERDEKA,TD,CAB10,Bandung,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,2,1170.0,IDR
IN6215,2022-01-23,CUST55510,APOTEK MERDEKA,TA,CAB03,Bandung,Z32,Apotek,BRG0001,ACYCLOVIR DUS,BRND001,"206",OGB & PH,DUS,14,1170.0,IDR
IN6220,2022-01-23,CUST55444,KLINIK SAHABAT,TD,CAB08,Tangerang,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,48,5648.0,IDR
IN6217,2022-01-23,CUST55438,APOTEK SAHABAT,TD,CAB02,Padang,Z32,Apotek,BRG0003,AMPICILLIN,BRND009,"210",VNS,BOTOL,5,5781.0,IDR
IN6125,2022-01-23,CUST55402,APOTEK TAPAK,TA,CAB01,Aceh,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,14,10691.0,IDR
IN5980,2022-01-23,CUST55432,APOTEK TAPAK,TA,CAB01,Aceh,Z32,Apotek,BRG0003,AMPICILLIN,BRND003,"210",MARCKS,BOTOL,20,10691.0,IDR
IN6251,2022-01-23,CUST55387,APOTEK TAPAK,TD,CAB07,Aceh,Z32,Apotek,BRG0008,TETRACYCLINE KAPSUL 250 MG,BRND008,"204",MARCKS,KAPSUL,1,3992.0,IDR
IN6311,2022-01-23,CUST55426,APOTEK MAJA,EPM,CAB05,Kuningan,Z32,Apotek,BRG0007,ERGOTAMINE COFFEINE,BRND007,"206",ETIKAL,BOTOL,7,4592.0,IDR
IN6242,2022-01-23,CUST55534,KLINIK SAHABAT,EPM,CAB08,Tangerang,Z31,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,BRND005,"203",SLCYL,TABLET,44,5648.0,IDR
